catalog_id,fid,original_validation,smiles,hasTertiaryAmine,nHBD,nHBA,cLogP,nHeteroAtoms,RingCount,nRotatableBonds,nAromaticBonds,nAcidicGroup,nBasicGroup,AtomicPolarizability,MolWt,TPSA,MaxTrainSimilarity,ClosestTrainSmiles,ClosestTrainIdentifier,FpClusterId,PhysChemClusterId
Z4225919459,,,C#CCCC1(CCNC(=O)CCNS(=O)(=O)C=Cc2ccccc2)N=N1,0,2.0,5.0,2.05,8.0,2.0,11.0,6.0,0.0,0.0,56.06,374.47,99.99,0.53,C#CCCC1(CCNC(=O)CS(=O)(=O)c2ccccc2Cl)N=N1,C260,8.0,7.0
Z4225919480,,,C#CCCC1(CCNC(=O)C2CC(=O)N(Cc3ccc(C)cc3)C2)N=N1,0,1.0,4.0,2.43,6.0,3.0,8.0,6.0,0.0,0.0,57.21,352.44,74.13,0.57,C#CCCC1(CCNC(=O)C2CCN(c3ccc(C)cc3)C2=O)N=N1,C408,3.0,4.0
Z4225919483,,,C#CCCC1(CCNC(=O)C2CC(=O)N(c3ccc(OCC)cc3)C2)N=N1,0,1.0,5.0,2.52,7.0,3.0,9.0,6.0,0.0,0.0,58.01,368.44,83.36,0.54,C#CCCC1(CCNC(=O)C2CCN(c3ccc(C)cc3)C2=O)N=N1,C408,3.0,7.0
Z4225919559,,,C#CCCC1(CCNC(=O)C2CCN(C(=O)c3ccc(Cl)cc3)CC2)N=N1,0,1.0,4.0,3.27,7.0,3.0,7.0,6.0,0.0,0.0,58.72,386.88,74.13,0.54,C#CCCC1(CCNC(=O)C2CN(C(=O)Nc3cc(Cl)ccc3OC)C2)N=N1,C322,3.0,2.0
Z4225919578,,,C#CCCC1(CCNC(=O)CCNS(=O)(=O)c2cc(C)ccc2C)N=N1,0,2.0,5.0,2.05,8.0,2.0,10.0,6.0,0.0,0.0,57.39,376.48,99.99,0.53,C#CCCC1(CCC(=O)NCCNS(=O)(=O)c2ccn(C)c2)N=N1,C097,8.0,7.0
Z4225919591,,,C#CCCC1(CCNC(=O)c2ccc(=O)n(Cc3ccccc3)n2)N=N1,0,1.0,6.0,1.99,7.0,3.0,8.0,12.0,0.0,0.0,53.21,349.39,88.71,0.54,C#CCCC1(CCNC(=O)c2ccc(Cc3ccccc3)[nH]2)N=N1,C112,5.0,6.0
Z4225919709,,,C#CCCC1(CCNC(=O)c2nn(CC(C)C)c(=O)c3ccccc23)N=N1,0,1.0,6.0,2.75,7.0,3.0,8.0,11.0,0.0,0.0,57.64,365.44,88.71,0.54,C#CCCC1(CCNC(=O)c2ccc(-n3cnc4ccccc4c3=O)cc2)N=N1,C166,5.0,8.0
Z4225919720,,,C#CCCC1(CCNC(=O)C2CC(=O)N(c3ccc4c(c3)OCCO4)C2)N=N1,0,1.0,6.0,1.89,8.0,4.0,7.0,6.0,0.0,0.0,57.48,382.42,92.59,0.53,C#CCCC1(CCNC(=O)C2COc3ccc(OC)cc3C2)N=N1,C229,3.0,7.0
Z4225919858,,,C#CCCC1(CCNC(=O)C(C)NC(=O)Cc2cccc3ccccc23)N=N1,0,2.0,4.0,2.97,6.0,3.0,9.0,11.0,0.0,0.0,60.73,376.46,82.92,0.55,C#CCCC1(CCNC(=O)C(C)Cn2ccc3ccccc32)N=N1,C035,8.0,8.0
Z4225919919,,,C#CCCC1(CCNC(=O)C=Cc2cnc3ccccc3n2)N=N1,0,1.0,5.0,2.72,6.0,3.0,7.0,11.0,0.0,0.0,49.32,319.37,79.6,0.48,C#CCCC1(CCNC(=O)C(O)(c2ccccc2)C(F)(F)F)N=N1,C135,8.0,6.0
