catalog_id,smiles
Z2866903884,C#CCCC1(CCC(=O)NC2CC3(CCCC3)Oc3ccccc32)N=N1
Z2866903888,C#CCCC1(CCC(=O)Nc2ccc3ccn(CC(=O)NC)c3c2)N=N1
Z2866903900,C#CCCC1(CCC(=O)NCc2cc(C(F)(F)F)on2)N=N1
Z2866903903,C#CCCC1(CCC(=O)N2CCC(c3nnc4ccccn34)CC2)N=N1
Z2866903908,C#CCCC1(CCC(=O)N2CCCCC2c2nc3ccccc3o2)N=N1
Z2866903920,C#CCCC1(CCC(=O)N2CCCCC2c2ccnn2C)N=N1
Z2866903929,C#CCCC1(CCC(=O)NC2(Cc3ccc(F)cc3)CC2)N=N1
Z2866903931,C#CCCC1(CCC(=O)N2CCC(F)(c3ccccc3)C2)N=N1
Z2866903945,C#CCCC1(CCC(=O)N2CCCC3(CCCc4ccccc43)C2)N=N1
Z2866903952,C#CCCC1(CCC(=O)Nc2cc(C3CC3)nn2-c2ncccn2)N=N1
Z2866903957,C#CCCC1(CCC(=O)Nc2cccc(Cn3cccnc3=O)c2)N=N1
Z2866903958,C#CCCC1(CCC(=O)Nc2ccc3nc4n(c(=O)c3c2)CCC4)N=N1
Z2866903965,C#CCCC1(CCC(=O)N2CCC(C(F)(F)F)c3ccccc32)N=N1
Z2866903967,C#CCCC1(CCC(=O)N2CCc3cccc(C(F)(F)F)c3C2)N=N1
Z2866903993,C#CCCC1(CCC(=O)N2CCn3c(nnc3-c3ccccc3)C2)N=N1
Z2866903995,C#CCCC1(CCC(=O)Nc2ccc(-c3cnc(C4CC4)o3)cc2)N=N1
Z2866904006,C#CCCC1(CCC(=O)NC2COc3cccc(C)c3C2)N=N1
Z2866904009,C#CCCC1(CCC(=O)N[C@H]2C[C@H](Oc3ccccc3)C2)N=N1
Z2866904011,C#CCCC1(CCC(=O)N2CCOc3c(C)cc(C)cc32)N=N1
Z2866904016,C#CCCC1(CCC(=O)NC2COc3c(C)cccc3C2)N=N1
Z2866904020,C#CCCC1(CCC(=O)NC2(c3cccc(OC)c3)CC2)N=N1
